Timestamp,Price
2019-06-26,11766
2019-06-27,12933
2019-06-28,11133
2019-06-29,12374
2019-06-30,11890
2019-07-01,10738
2019-07-02,10579
2019-07-03,10805
2019-07-04,11985
2019-07-05,11160
2019-07-06,10955
2019-07-07,11232
2019-07-08,11477
2019-07-09,12313
2019-07-10,12587
2019-07-11,12100
2019-07-12,11353
2019-07-13,11804
2019-07-14,11389
2019-07-15,10187
2019-07-16,10874
2019-07-17,9398
2019-07-18,9674
2019-07-19,10639
2019-07-20,10536
2019-07-21,10765
2019-07-22,10587
2019-07-23,10324
2019-07-24,9844
2019-07-25,9772
2019-07-26,9875
2019-07-27,9849
2019-07-28,9474
2019-07-29,9530
2019-07-30,9501
2019-07-31,9589
2019-08-01,10085
2019-08-02,10407
2019-08-03,10530
2019-08-04,10815
2019-08-05,10980
2019-08-06,11788
2019-08-07,11466
2019-08-08,11961
2019-08-09,11996
2019-08-10,11857
2019-08-11,11282
2019-08-12,11567
2019-08-13,11386
2019-08-14,10858
2019-08-15,10017
2019-08-16,10302
2019-08-17,10359
2019-08-18,10215
2019-08-19,10318
2019-08-20,10917
2019-08-21,10761
2019-08-22,10129
2019-08-23,10112
2019-08-24,10406
2019-08-25,10144
2019-08-26,10135
2019-08-27,10360
2019-08-28,10172
2019-08-29,9718
2019-08-30,9485
2019-08-31,9578
2019-09-01,9601
2019-09-02,9770
2019-09-03,10387
2019-09-04,10621
2019-09-05,10584
2019-09-06,10578
2019-09-07,10317
2019-09-08,10487
2019-09-09,10406
2019-09-10,10314
2019-09-11,10101
2019-09-12,10159
2019-09-13,10420
2019-09-14,10364
2019-09-15,10361
2019-09-16,10310
2019-09-17,10266
2019-09-18,10190
2019-09-19,10158
2019-09-20,10276
2019-09-21,10173
2019-09-22,9979
2019-09-23,10033
2019-09-24,9683
2019-09-25,8554
2019-09-26,8432
2019-09-27,8056
2019-09-28,8194
2019-09-29,8225
2019-09-30,8057
2019-10-01,8308
2019-10-02,8323
2019-10-03,8382
2019-10-04,8236
2019-10-05,8155
2019-10-06,8148
2019-10-07,7870
2019-10-08,8212
2019-10-09,8190
2019-10-10,8588
2019-10-11,8587
2019-10-12,8270
2019-10-13,8308
2019-10-14,8284
2019-10-15,8354
2019-10-16,8162
2019-10-17,8003
2019-10-18,8077
2019-10-19,7954
2019-10-20,7960
2019-10-21,8231
2019-10-22,8223
2019-10-23,8027
2019-10-24,7470
2019-10-25,7432
2019-10-26,8667
2019-10-27,9260
2019-10-28,9552
2019-10-29,9219
2019-10-30,9433
2019-10-31,9165
2019-11-01,9148
2019-11-02,9253
2019-11-03,9301
2019-11-03,9206
2019-11-04,9418
2019-11-05,9310
2019-11-06,9343
2019-11-07,9204
2019-11-08,8766
2019-11-09,8809
2019-11-10,9037
2019-11-11,8718
2019-11-12,8802
2019-11-13,8762
2019-11-14,8632
2019-11-15,8458
2019-11-16,8483
2019-11-17,8504
2019-11-18,8176
2019-11-19,8121
2019-11-20,8082
2019-11-21,7617
2019-11-22,7286
2019-11-23,7324
2019-11-24,6907
2019-11-25,7130
2019-11-26,7164
2019-11-27,7524
2019-11-28,7431
2019-11-29,7757
2019-11-30,7558
2019-12-01,7403
2019-12-02,7310
2019-12-03,7297
2019-12-04,7193
2019-12-05,7396
2019-12-06,7547
2019-12-07,7505
2019-12-08,7522
2019-12-09,7337
2019-12-10,7221
2019-12-11,7202
2019-12-12,7189
2019-12-13,7252
2019-12-14,7068
2019-12-15,7111
2019-12-16,6880
2019-12-17,6612
2019-12-18,7284
2019-12-19,7151
2019-12-20,7190
2019-12-21,7143
2019-12-22,7514
2019-12-23,7322
2019-12-24,7251
2019-12-25,7193
2019-12-26,7194
2019-12-27,7244
2019-12-28,7301
2019-12-29,7385
2019-12-30,7220
2019-12-31,7168
2020-01-01,7176
2020-01-02,6944
2020-01-03,7326
2020-01-04,7348
2020-01-05,7352
2020-01-06,7759
2020-01-07,8165
2020-01-08,8043
2020-01-09,7818
2020-01-10,8185
2020-01-11,8021
2020-01-12,8174
2020-01-13,8105
2020-01-14,8842
2020-01-15,8814
2020-01-16,8722
2020-01-17,8900
2020-01-18,8911
2020-01-19,8703
2020-01-20,8626
2020-01-21,8722
2020-01-22,8659
2020-01-23,8388
2020-01-24,8428
2020-01-25,8327
2020-01-26,8588
2020-01-27,8896
2020-01-28,9386
2020-01-29,9280
2020-01-30,9502
2020-01-31,9334
2020-02-01,9378
2020-02-02,9315
2020-02-03,9285
2020-02-04,9162
2020-02-05,9615
2020-02-06,9756
2020-02-07,9808
2020-02-08,9907
2020-02-09,10162
2020-02-10,9855
2020-02-11,10275
2020-02-12,10354
2020-02-13,10242
2020-02-14,10369
2020-02-15,9904
2020-02-16,9938
2020-02-17,9704
2020-02-18,10181
2020-02-19,9605
2020-02-20,9607
2020-02-21,9697
2020-02-22,9670
2020-02-23,9989
2020-02-24,9664
2020-02-25,9309
2020-02-26,8786
2020-02-27,8805
2020-02-28,8712
2020-02-29,8531
2020-03-01,8534
2020-03-02,8913
2020-03-03,8754
2020-03-04,8759
2020-03-05,9067
2020-03-06,9156
2020-03-07,8899
2020-03-09,8039
2020-03-10,7932
2020-03-11,7885
2020-03-12,7937
2020-03-13,4830
2020-03-14,5609
2020-03-15,5166
2020-03-16,5348
2020-03-17,5026
2020-03-18,5358
2020-03-19,5410
2020-03-20,6195
2020-03-21,6226
2020-03-22,6190
2020-03-23,5823
2020-03-24,6502
2020-03-25,6768
2020-03-26,6698
2020-03-27,6764
2020-03-28,6369
2020-03-29,6261
2020-03-30,5885
2020-03-31,6405
2020-04-01,6428
2020-04-02,6653
2020-04-03,6809
2020-04-04,6742
2020-04-05,6872
2020-04-06,6777
2020-04-07,7343
2020-04-08,7206
2020-04-09,7365
2020-04-10,7294
2020-04-11,6873
2020-04-12,6892
2020-04-13,6915
2020-04-14,6858
2020-04-15,6872
2020-04-16,6624
2020-04-17,7112
2020-04-18,7035
2020-04-19,7259
2020-04-20,7130
2020-04-21,6840
2020-04-22,6853
2020-04-23,7131
2020-04-24,7478
2020-04-25,7507
2020-04-26,7550
2020-04-27,7699
2020-04-28,7791
2020-04-29,7765
2020-04-30,8778
2020-05-01,8629
2020-05-02,8825
2020-05-03,8974
2020-05-04,8904
2020-05-05,8886
2020-05-06,9031
2020-05-07,9171
2020-05-08,10002
2020-05-09,9822
2020-05-10,9527
2020-05-11,8754
2020-05-12,8617
2020-05-13,8815
2020-05-14,9306
2020-05-15,9790
2020-05-16,9304
2020-05-17,9386
2020-05-18,9669
2020-05-19,9719
2020-05-20,9786
2020-05-21,9511
2020-05-22,9058
2020-05-23,9167
2020-05-24,9178
2020-05-25,8731
2020-05-26,8900
2020-05-27,8843
2020-05-28,9198
2020-05-29,9569
2020-05-30,9426
2020-05-31,9698
2020-06-01,9451
2020-06-02,10204
2020-06-03,9526
2020-06-04,9658
2020-06-05,9795
2020-06-06,9624
2020-06-07,9670
2020-06-08,9754
2020-06-09,9783
2020-06-10,9775
2020-06-11,9892
2020-06-12,9286
2020-06-13,9460
2020-06-14,9474
2020-06-15,9330
2020-06-16,9427
2020-06-17,9526
2020-06-18,9455
2020-06-19,9380
2020-06-20,9300
2020-06-21,9357
2020-06-22,9285
2020-06-23,9692
2020-06-24,9621
2020-06-25,9277
2020-06-26,9241
2020-06-27,9154
2020-06-28,9004
2020-06-29,9127
2020-06-30,9185
2020-07-01,9134
2020-07-02,9236
2020-07-03,9088
2020-07-04,9072
2020-07-05,9131
2020-07-06,9089
2020-07-07,9349
2020-07-08,9256
2020-07-09,9440
2020-07-10,9238
2020-07-11,9287
2020-07-12,9236
2020-07-13,9296
2020-07-14,9238
2020-07-15,9255
2020-07-16,9194
2020-07-17,9131
2020-07-18,9154
2020-07-19,9175
2020-07-20,9215
2020-07-21,9164
2020-07-22,9393
2020-07-23,9537
2020-07-24,9613
2020-07-25,9551
2020-07-26,9708
2020-07-27,9939
2020-07-28,11042
2020-07-29,10935
2020-07-30,11103
2020-07-31,11115
2020-08-01,11344
2020-08-02,11824
2020-08-03,11078
2020-08-04,11243
2020-08-05,11194
2020-08-06,11750
2020-08-07,11773
2020-08-08,11606
2020-08-09,11768
2020-08-10,11684
2020-08-11,11893
2020-08-12,11392
2020-08-13,11573
2020-08-14,11777
2020-08-15,11774
2020-08-16,11874
2020-08-17,11914
2020-08-18,12294
2020-08-19,11970
2020-08-20,11734
2020-08-21,11866
2020-08-22,11523
2020-08-23,11683
2020-08-24,11653
2020-08-25,11764
2020-08-26,11337
2020-08-27,11467
2020-08-28,11302
2020-08-29,11535
2020-08-30,11482
2020-08-31,11708
2020-09-01,11660
2020-09-02,11923
2020-09-03,11397
2020-09-04,10188
2020-09-05,10468
2020-09-06,10160
2020-09-07,10255
2020-09-08,10368
2020-09-09,10122
2020-09-10,10228
2020-09-11,10353
2020-09-12,10395
2020-09-13,10446
2020-09-14,10331
2020-09-15,10675
2020-09-16,10786
2020-09-17,10948
2020-09-18,10944
2020-09-19,10932
2020-09-20,11081
2020-09-21,10920
2020-09-22,10430
2020-09-23,10532
2020-09-24,10234
2020-09-25,10732
2020-09-26,10693
2020-09-27,10732
2020-09-28,10774
2020-09-29,10692
2020-09-30,10841
2020-10-01,10778
2020-10-02,10619
2020-10-03,10575
2020-10-04,10552
2020-10-05,10673
2020-10-06,10789
2020-10-07,10604
2020-10-08,10671
2020-10-09,10923
2020-10-10,11063
2020-10-11,11303
2020-10-12,11377
2020-10-13,11540
2020-10-14,11428
2020-10-15,11431
2020-10-16,11504
2020-10-17,11328
2020-10-18,11367
2020-10-19,11508
2020-10-20,11758
2020-10-21,11925
2020-10-22,12832
2020-10-23,12990
2020-10-24,12945
2020-10-25,13128
2020-10-26,13037
2020-10-27,13076
2020-10-28,13651
2020-10-29,13289
2020-10-30,13459
2020-10-31,13565
2020-11-01,13810
2020-11-01,13759
2020-11-02,13575
2020-11-03,14023
2020-11-04,14156
2020-11-05,15591
2020-11-06,15596
2020-11-07,14840
2020-11-08,15491
2020-11-09,15329
2020-11-10,15317
2020-11-11,15709
2020-11-12,16296
2020-11-13,16339
2020-11-14,16091
2020-11-15,15968
2020-11-16,16725
2020-11-17,17680
2020-11-18,17798
